Id,Position,First Name,Last Name,Expected Points,Salary,Team,Opponent
6567,TE,David,Johnson,0.1,4500,SD,CLE
21990,WR,Ryan,Broyles,0.7,4500,DET,SEA
30598,TE,Rory,Anderson,0,4500,SF,GB
34125,WR,Geremy,Davis,0.3,4500,NYG,BUF
61247,TE,Joe Don,Duncan,0,4500,DEN,MIN
64104,RB,Terrell,Watson,0,4500,CIN,KC
22800,RB,Derrick,Coleman,0.2,4500,SEA,DET
29672,RB,Silas,Redd,1.9,4500,WAS,PHI
30635,RB,Mike,Davis,2.2,4500,SF,GB
34154,WR,Jamarcus,Nelson,-1,4500,ARI,STL
26343,WR,Corey,Fuller,0,4500,DET,SEA
27199,RB,Marcus,Murphy,2,4500,NO,DAL
64014,WR,Avius,Capers,0,4500,CAR,TB
30667,TE,Justice,Cunningham,0,4500,STL,ARI
22849,TE,Cory,Harkey,0,4500,STL,ARI
30709,WR,Bruce,Ellington,1.5,4500,SF,GB
33137,WR,Justin,Hardy,0,4500,ATL,HOU
6622,WR,Eric,Weems,0,4500,ATL,HOU
64042,RB,LaVance,Taylor,0,4500,KC,CIN
64046,WR,Ed,Williams,0,4500,GB,SF
14230,RB,Ryan,Williams,0,4500,DAL,NO
11829,WR,Preston,Parker,3.4,4500,NYG,BUF
62985,WR,Jeret,Smith,0,4500,KC,CIN
15178,RB,Chase,Reynolds,0,4500,STL,ARI
27378,RB,Trey,Millard,0,4500,SF,GB
28311,TE,MarQueis,Gray,0,4500,BUF,NYG
22920,TE,Derek,Carrier,0.6,4500,WAS,PHI
14265,WR,Austin,Pettis,4.8,4500,SD,CLE
29540,RB,Terron,Ward,0.5,4500,ATL,HOU
22938,WR,Rod,Streater,1.3,4500,OAK,CHI
27338,RB,Rex,Burkhead,1.4,4500,CIN,KC
14253,WR,Greg,Little,1.9,4500,CIN,KC
23023,TE,Cooper,Helfet,0,4500,SEA,DET
14297,WR,Greg,Salas,2.9,4500,DET,SEA
28408,WR,Kyle,Prater,0,4500,NO,DAL
14302,WR,Kris,Durham,2.1,4500,OAK,CHI
14274,TE,Rob,Housler,0,4500,CLE,SD
14277,WR,Vincent,Brown,2.5,4500,IND,JAC
15121,WR,Chris,Matthews,1,4500,SEA,DET
30591,WR,Ace,Sanders,1,4500,JAC,IND
11870,WR,Seyi,Ajirotutu,0,4500,PHI,WAS
22991,RB,Jonathan,Grimes,5.7,4500,HOU,ATL
14304,TE,Luke,Stocker,0,4500,TB,CAR
54782,TE,Cameron,Brate,0,4500,TB,CAR
7394,TE,Brandon,Pettigrew,0,4500,DET,SEA
54753,WR,Taylor,Gabriel,2.5,4500,CLE,SD
26498,WR,Stedman,Bailey,2.6,4500,STL,ARI
31329,WR,Russell,Shepard,0.4,4500,TB,CAR
15006,RB,Shaun,Draughn,0.4,4500,CLE,SD
30403,WR,Chris,Conley,0.7,4500,KC,CIN
30414,WR,Michael,Bennett,0,4500,CIN,KC
6388,WR,Jason,Avant,0.6,4500,KC,CIN
44791,RB,Bronson,Hill,0,4500,CHI,OAK
39411,TE,Gavin,Escobar,2.8,4500,DAL,NO
27445,WR,Jalen,Saunders,-0.1,4500,CHI,OAK
29340,WR,Josh,Huff,3,4500,PHI,WAS
15032,RB,Henry,Hynoski,0.1,4500,NYG,BUF
29357,RB,Kenjon,Barner,0,4500,PHI,WAS
27403,TE,Blake,Bell,0.7,4500,SF,GB
28487,TE,Jeff,Heuerman,0,4500,DEN,MIN
29351,WR,De'Anthony,Thomas,1.4,4500,KC,CIN
54663,WR,Seantavius,Jones,0,4500,NO,DAL
32410,RB,Trey,Williams,0,4500,WAS,PHI
30249,WR,Frankie,Hammond,0.4,4500,KC,CIN
64487,WR,Adam,Drake,0,4500,KC,CIN
44560,TE,Alex,Bayer,0,4500,SD,CLE
54623,WR,Jeff,Janis,0,4500,GB,SF
7244,RB,John,Kuhn,0,4500,GB,SF
32418,RB,Christine,Michael,1.9,4500,DAL,NO
12055,TE,Logan,Paulsen,1.1,4500,WAS,PHI
30259,WR,Solomon,Patton,0.3,4500,DEN,MIN
32429,K,Josh,Lambo,6.3,4500,SD,CLE
44670,TE,Deon,Butler,0,4500,DET,SEA
30297,TE,Trey,Burton,0,4500,PHI,WAS
22754,TE,Garrett,Celek,4,4500,SF,GB
46001,RB,Joey,Iosefa,0,4500,TB,CAR
33007,TE,Blake,Annen,0,4500,GB,SF
33981,TE,Eric,Frohnapfel,0,4500,SD,CLE
32045,TE,Vance,McDonald,0.5,4500,SF,GB
62628,WR,DeAndre,Carter,0,4500,OAK,CHI
62631,RB,Gus,Johnson,0,4500,DAL,NO
30108,WR,Marquess,Wilson,2.8,4500,CHI,OAK
25775,TE,Clive,Walford,0.5,4500,OAK,CHI
32000,TE,Luke,Willson,2.3,4500,SEA,DET
14815,WR,Joseph,Morgan,0,4500,NO,DAL
25783,RB,Mike,James,0.3,4500,TB,CAR
62616,RB,Zach,Zenner,0.2,4500,DET,SEA
38517,RB,Dreamius,Smith,0,4500,SD,CLE
33541,K,Kyle,Brindza,7.7,4500,TB,CAR
60745,K,Jason,Myers,7.3,4500,JAC,IND
31036,WR,Kevin,Norwood,0,4500,CAR,TB
27771,WR,Cody,Latimer,0,4500,DEN,MIN
48344,WR,Albert,Wilson,1.3,4500,KC,CIN
12545,D,Philadelphia,Eagles,9.7,4500,PHI,WAS
11488,TE,Ed,Dickson,1.4,4500,CAR,TB
22447,WR,Griff,Whalen,0,4500,IND,JAC
62508,TE,James,O'Shaughnessy,2.1,4500,KC,CIN
62505,TE,MyCole,Pruitt,0,4500,MIN,DEN
60800,RB,Jarryd,Hayne,0.3,4500,SF,GB
31207,TE,C.J.,Uzomah,0,4500,CIN,KC
29994,K,Travis,Coons,5.7,4500,CLE,SD
39427,WR,Quinton,Patton,1.9,4500,SF,GB
6951,TE,James,Casey,0,4500,DEN,MIN
33691,RB,Orleans,Darkwa,0,4500,NYG,BUF
31188,TE,Chris,Gragg,1.4,4500,BUF,NYG
14683,RB,Patrick,DiMarco,1.1,4500,ATL,HOU
39512,RB,Kendall,Gaskins,0,4500,SF,GB
14629,WR,Ricardo,Lockette,0.9,4500,SEA,DET
32234,RB,Malcolm,Brown,0,4500,STL,ARI
24589,WR,Jaron,Brown,3.4,4500,ARI,STL
32243,WR,Marquise,Goodwin,0.6,4500,BUF,NYG
14645,WR,Dontrelle,Inman,0,4500,SD,CLE
14649,TE,Kyle,Miller,0,4500,SD,CLE
62534,TE,Brian,Parker,0,4500,KC,CIN
9442,WR,Brandon,Tate,0,4500,CIN,KC
39539,TE,Brian,Leonhardt,1,4500,OAK,CHI
31109,K,Zach,Hocker,6.3,4500,NO,DAL
26799,TE,Ernst,Brun Jr.,0,4500,WAS,PHI
27878,RB,Mark,Weisman,0,4500,CIN,KC
39521,WR,Da'Rick,Rogers,0,4500,KC,CIN
11648,TE,Jim,Dray,0.6,4500,CLE,SD
25052,RB,Zach,Laskey,0,4500,STL,ARI
27908,TE,C.J.,Fiedorowicz,1.5,4500,HOU,ATL
10695,RB,Darrel,Young,0.2,4500,WAS,PHI
11671,RB,Erik,Lorig,1.2,4500,NO,DAL
63858,WR,AJ,Cruz,0,4500,CHI,OAK
44163,WR,James,Butler,0,4500,GB,SF
22235,RB,Jeremy,Stewart,0.6,4500,DEN,MIN
23055,TE,Brandon,Bostick,0.6,4500,ARI,STL
26038,TE,Tyler,Kroft,0,4500,CIN,KC
25079,WR,Stefon,Diggs,0,4500,MIN,DEN
6828,RB,Tim,Hightower,0,4500,NO,DAL
39859,TE,Jack,Doyle,1.6,4500,IND,JAC
23076,RB,Jorvorskie,Lane,0,4500,TB,CAR
6823,TE,John,Phillips,1.8,4500,SD,CLE
26074,TE,Tim,Wright,0,4500,DET,SEA
6868,TE,Daniel,Fells,4.5,4500,NYG,BUF
6904,WR,Devin,Hester,5.9,4500,ATL,HOU
22177,WR,Junior,Hemingway,1.2,4500,KC,CIN
22181,TE,David,Paulson,0,4500,SD,CLE
22185,RB,Brad,Smelley,0,4500,STL,ARI
22198,WR,Brittan,Golden,0,4500,ARI,STL
30733,WR,Cordarrelle,Patterson,0.5,4500,MIN,DEN
59424,TE,Taylor,Sloat,0,4500,TB,CAR
6684,WR,Jacoby,Jones,0,4500,SD,CLE
65926,TE,Anthony,Ezeakunne,0,4500,CLE,SD
29728,RB,Ricky,Seale,0,4500,BUF,NYG
6660,RB,Donald,Brown,4.5,4500,SD,CLE
12542,D,New Orleans,Saints,5,4500,NO,DAL
12537,D,Oakland,Raiders,5,4500,OAK,CHI
12530,D,Dallas,Cowboys,6,4500,DAL,NO
65962,TE,Dan,Light,0,4500,DEN,MIN
7801,TE,Brandon,Myers,1.1,4500,TB,CAR
22123,TE,James,Hanna,0,4500,DAL,NO
39716,WR,Adam,Thielen,0.9,4500,MIN,DEN
11557,RB,John,Conner,1,4500,BUF,NYG
14406,RB,Bruce,Miller,0.4,4500,SF,GB
29725,TE,Levine,Toilolo,1.3,4500,ATL,HOU
29723,RB,Stepfan,Taylor,0.2,4500,ARI,STL
22029,RB,Bernard,Pierce,0.9,4500,JAC,IND
11594,RB,Anthony,Dixon,2,4500,BUF,NYG
6742,TE,Brent,Celek,0.4,4500,PHI,WAS
57348,RB,Glenn,Winston,0,4500,CLE,SD
22042,TE,Evan,Rodriguez,0,4500,TB,CAR
22034,WR,Chris,Givens,1.2,4500,STL,ARI
10531,WR,Jordan,Norwood,3.5,4500,DEN,MIN
14358,WR,Dwayne,Harris,0.4,4500,NYG,BUF
11622,WR,Trindon,Holliday,1.7,4500,OAK,CHI
14361,TE,Richard,Gordon,0,4500,KC,CIN
6782,K,Matt,Prater,2.7,4500,DET,SEA
6783,WR,Lance,Moore,1.9,4500,DET,SEA
33488,TE,Troy,Niklas,0,4500,ARI,STL
14338,WR,Denarius,Moore,1.6,4500,CIN,KC
6753,WR,Andre,Caldwell,0.8,4500,DEN,MIN
14336,RB,Jacquizz,Rodgers,1.7,4500,CHI,OAK
7722,WR,Kevin,Ogletree,1.2,4500,NYG,BUF
7718,RB,Cedric,Peerman,0,4500,CIN,KC
22067,TE,Adrien,Robinson,0.8,4500,NYG,BUF
